kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
10397751,K02859.05,,CANDIDATE,CANDIDATE,0.857,0,0,0,0,5.43103616,4.629e-05,-4.629e-05,134.41711,0.00648,-0.00648,0.816,0.157,-0.576,2.469,0.179,-0.179,66.8,6.7,-6.7,0.66,0.07,-0.07,873.0,137.1,54.14,-37.76,10.8,3.0,q1_q17_dr25_tce,5374.0,160.0,-144.0,4.555,0.088,-0.064,0.721,0.082,-0.073,288.83136,47.551991,13.851
1432789,K00992.01,Kepler-745 b,CONFIRMED,CANDIDATE,0.848,0,0,0,0,9.93146307,5.186e-05,-5.186e-05,136.49128,0.00442,-0.00442,0.037,0.408,-0.037,5.678,0.127,-0.127,398.6,16.4,-16.4,2.41,0.39,-0.35,931.0,177.83,74.92,-54.5,26.2,1.0,q1_q17_dr25_tce,5782.0,78.0,-78.0,4.28,0.137,-0.112,1.22,0.196,-0.176,291.49942,37.05928,15.214
3939150,K01215.01,Kepler-277 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,17.32419108,6.368e-05,-6.368e-05,142.09977,0.00323,-0.00323,0.764,0.148,-0.531,8.045,0.102,-0.102,241.3,5.3,-5.3,3.14,0.45,-0.76,964.0,204.1,84.23,-95.49,49.1,1.0,q1_q17_dr25_tce,5968.0,120.0,-108.0,3.972,0.21,-0.084,1.857,0.264,-0.452,286.58316,39.077202,13.42
7983117,K03214.02,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,25.0901574,0.0004822,-0.0004822,138.4988,0.0162,-0.0162,0.935,0.043,-0.651,8.273,0.545,-0.545,37.7,3.4,-3.4,1.35,0.27,-0.43,852.0,124.33,76.2,-73.41,12.1,2.0,q1_q17_dr25_tce,6033.0,183.0,-183.0,3.985,0.266,-0.114,1.788,0.351,-0.571,298.67377,43.795479,12.014
3352751,K06330.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.495457889,9.35e-07,-9.35e-07,132.083941,0.000214,-0.000214,0.965,0.032,-0.03,6.9796,0.0126,-0.0126,114620.0,184.0,-184.0,84.49,14.43,-7.75,2051.0,4186.71,1758.93,-881.46,724.0,1.0,q1_q17_dr25_tce,8529.0,76.0,-93.0,4.249,0.063,-0.108,1.558,0.266,-0.143,294.07187,38.426922,13.444
2299738,K07628.01,,CANDIDATE,CANDIDATE,0.901,0,0,0,0,1.8134378,2.643e-05,-2.643e-05,132.6703,0.011,-0.011,0.418,0.049,-0.418,7.776,0.312,-0.312,97.4,6.2,-6.2,0.69,0.09,-0.06,1158.0,423.67,176.71,-103.86,19.1,1.0,q1_q17_dr25_tce,5094.0,151.0,-136.0,4.618,0.04,-0.065,0.7,0.086,-0.058,290.71725,37.64901,13.961
4932442,K01665.02,,CANDIDATE,CANDIDATE,,0,0,0,0,5.91393977,4.933e-05,-4.933e-05,137.17182,0.00775,-0.00775,0.0896,0.5342,-0.0893,0.562,0.508,-0.508,84.0,23.2,-23.2,1.07,0.55,-0.12,1112.0,361.0,551.09,-111.49,2.8,,,6194.0,155.0,-217.0,4.415,0.053,-0.302,1.129,0.579,-0.121,294.17108,40.055168,14.042
8355178,K06178.02,,CANDIDATE,CANDIDATE,,0,0,0,0,33.814176,0.001091,-0.001091,142.4542,0.0375,-0.0375,0.1563,0.3021,-0.1563,7.69,1.7,-1.7,222.6,46.0,-46.0,1.49,0.51,-0.14,589.0,28.41,28.02,-8.17,8.1,2.0,q1_q16_tce,6122.0,146.0,-209.0,4.471,0.047,-0.255,0.996,0.343,-0.095,287.53177,44.30801,15.863
10004519,K01572.01,Kepler-894 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.80321143,2.868e-05,-2.868e-05,363.98686,0.00213,-0.00213,0.663,0.232,-0.438,4.4617,0.0684,-0.0684,813.4,17.4,-17.4,2.99,0.99,-0.31,896.0,152.12,152.65,-47.64,53.1,1.0,q1_q17_dr25_tce,6170.0,196.0,-240.0,4.472,0.054,-0.216,0.992,0.327,-0.102,288.73407,46.939388,15.439
8352009,K05506.01,,CANDIDATE,CANDIDATE,,0,0,0,0,641.60204,0.02038,-0.02038,170.8404,0.0275,-0.0275,0.3218,0.1159,-0.3217,16.762,0.939,-0.939,237.3,23.2,-23.2,1.61,0.8,-0.14,230.0,0.66,0.97,-0.18,10.6,1.0,q1_q16_tce,6277.0,168.0,-204.0,4.449,0.044,-0.314,1.031,0.511,-0.089,285.79572,44.35051,14.152
11502172,K07452.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,25.431861399,5.095e-06,-5.095e-06,135.619194,0.000163,-0.000163,1.126,0.037,-0.013,5.23771,0.00831,-0.00831,46565.0,68.6,-68.6,43.42,10.9,-5.89,601.0,30.92,22.92,-10.2,785.0,1.0,q1_q17_dr25_tce,5754.0,155.0,-155.0,4.458,0.108,-0.175,0.9,0.226,-0.122,289.07819,49.480019,14.164
6448890,K01241.01,Kepler-56 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.4054422,0.0001196,-0.0001196,147.08981,0.00441,-0.00441,0.943,0.005,-0.031,11.721,0.368,-0.368,409.3,7.5,-7.5,11.64,0.79,-1.71,1087.0,330.0,66.95,-105.19,60.9,1.0,q1_q17_dr25_tce,4838.0,65.0,-79.0,3.299,0.05,-0.041,4.361,0.296,-0.641,293.75836,41.871868,12.44
10586744,K04892.01,,CANDIDATE,CANDIDATE,0.526,0,0,0,0,21.3761817,0.0004724,-0.0004724,143.6293,0.0177,-0.0177,0.017,0.456,-0.017,8.543,0.518,-0.518,104.0,10.4,-10.4,1.08,0.31,-0.24,717.0,62.37,53.03,-28.14,12.1,1.0,q1_q17_dr25_tce,5984.0,161.0,-161.0,4.322,0.195,-0.195,1.052,0.305,-0.229,285.70697,47.869968,14.143
12021943,K08075.01,,FALSE POSITIVE,FALSE POSITIVE,0.203,1,0,0,0,6.0962602,0.0002503,-0.0002503,134.9875,0.0402,-0.0402,0.787,0.167,-0.547,10.4,1.2,-1.2,30.4,3.9,-3.9,0.62,0.21,-0.06,1048.0,284.96,278.41,-86.32,10.0,1.0,q1_q17_dr25_tce,6108.0,172.0,-193.0,4.466,0.042,-0.224,1.03,0.34,-0.113,296.14963,50.46661,13.723
10586619,K07345.01,,CANDIDATE,CANDIDATE,0.902,0,0,0,0,377.501257,0.00877,-0.00877,278.8375,0.0164,-0.0164,0.033,0.426,-0.033,11.98,0.595,-0.595,541.4,46.0,-46.0,2.16,0.32,-0.1,242.0,0.81,0.31,-0.11,13.9,1.0,q1_q17_dr25_tce,5751.0,78.0,-78.0,4.508,0.021,-0.119,0.94,0.138,-0.043,285.6409,47.81105,15.044
5359678,K06569.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.115304946,2.65e-07,-2.65e-07,133.1240488,6.96e-05,-6.96e-05,0.89,0.011,-0.011,4.88748,0.003,-0.003,149520.0,101.0,-101.0,61.66,17.81,-7.6,1404.0,918.39,759.24,-293.85,1398.8,1.0,q1_q17_dr25_tce,6367.0,153.0,-192.0,4.419,0.062,-0.188,1.087,0.314,-0.134,290.95132,40.54797,14.154
9595827,K00217.01,Kepler-71 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,3.905081685,3.52e-07,-3.52e-07,133.4150433,7.45e-05,-7.45e-05,0.131,0.016,-0.111,2.8213,0.00486,-0.00486,21340.0,17.9,-17.9,12.78,0.85,-0.52,1046.0,282.59,59.74,-44.46,1315.8,1.0,q1_q17_dr25_tce,5543.0,88.0,-121.0,4.54,0.017,-0.052,0.887,0.059,-0.036,294.86551,46.285851,15.127
